MSOA code,2019 house price
E02004297,"138,000"
E02004290,"139,000"
E02004298,"140,000"
E02004299,"111,000"
E02004291,"105,000"
E02004300,"84,000"
E02004292,"183,500"
E02004301,"107,750"
E02004302,"74,975"
E02004303,"89,950"
E02004293,"108,000"
E02004304,"90,500"
E02004294,"172,500"
E02004305,"138,000"
E02004295,"149,000"
E02004320,"146,500"
E02004321,"102,000"
E02004322,"89,975"
E02004296,"113,000"
E02004306,"157,500"
E02004323,"81,000"
E02004308,"176,750"
E02004309,"126,500"
E02004307,"95,000"
E02004324,"56,950"
E02004310,"113,000"
E02004311,"113,000"
E02004312,"151,000"
E02004313,"122,500"
E02004314,"260,000"
E02004316,"95,000"
E02004325,"78,000"
E02004315,"285,000"
E02004326,"89,000"
E02004328,"81,950"
E02004327,"35,000"
E02004329,"124,250"
E02004317,"100,000"
E02004330,"80,000"
E02004331,"110,000"
E02004318,"119,500"
E02004348,"159,000"
E02004332,"148,000"
E02004319,"135,000"
E02004349,"75,500"
E02004350,"112,000"
E02004333,"104,000"
E02004334,"75,500"
E02004335,"135,250"
E02004336,"70,000"
E02004351,"70,000"
E02004337,"115,000"
E02004338,"113,495"
E02004339,"220,000"
E02004352,"80,000"
E02004353,"117,000"
E02004354,"106,000"
E02004355,"84,500"
E02004340,"64,000"
E02004341,"165,000"
E02004342,"55,500"
E02004343,"95,000"
E02004344,"110,000"
E02004345,"123,500"
E02004346,"174,000"
E02004347,"192,000"
E02002559,"195,000"
E02002560,"114,000"
E02002561,"142,000"
E02002562,"82,000"
E02002563,"120,000"
E02002564,"123,750"
E02002565,"97,000"
E02002566,"68,500"
E02002567,"135,995"
E02002568,"232,500"
E02002569,"235,000"
E02002570,"82,000"
E02002571,"105,000"
E02002572,"100,000"
E02002573,"222,500"
E02001682,"168,975"
E02001683,"164,498"
E02001684,"98,500"
E02001685,"120,000"
E02001686,"130,000"
E02001688,"133,000"
E02001689,"105,750"
E02001690,"128,000"
E02001691,"103,500"
E02001692,"86,000"
E02001693,"108,000"
E02001694,"125,100"
E02001695,"143,950"
E02001696,"100,000"
E02001697,"180,000"
E02001698,"235,000"
E02001699,"120,000"
E02001700,"146,000"
E02001701,"180,000"
E02001702,"118,500"
E02001703,"197,000"
E02001704,"110,500"
E02001705,"90,000"
E02001706,"173,500"
E02001707,"138,000"
E02006841,"135,000"
E02006842,"114,125"
E02002483,"140,250"
E02002484,"101,500"
E02002485,"83,000"
E02002487,"55,500"
E02002488,"200,000"
E02002489,"94,995"
E02002490,"64,250"
E02002491,"92,000"
E02002492,"115,000"
E02002493,"150,000"
E02002494,"85,000"
E02006909,"213,000"
E02002496,"60,500"
E02002497,"41,350"
E02002498,"46,500"
E02002499,"88,000"
E02002500,"98,000"
E02002501,"125,050"
E02002502,"77,000"
E02002503,"109,995"
E02002504,"112,000"
E02002505,"69,500"
E02002506,"86,000"
E02002507,"132,000"
E02002508,"150,000"
E02002509,"130,500"
E02002510,"199,995"
E02002512,"200,000"
E02002513,"174,950"
E02002514,"158,950"
E02006811,"185,000"
E02001708,"225,973"
E02001709,"285,000"
E02001710,"120,000"
E02001711,"149,498"
E02001712,"249,000"
E02001713,"285,000"
E02001714,"234,998"
E02001715,"133,500"
E02001718,"151,996"
E02001719,"164,500"
E02001720,"216,500"
E02001721,"157,000"
E02001722,"138,998"
E02001723,"132,995"
E02001724,"228,750"
E02001725,"133,000"
E02001726,"122,000"
E02001727,"142,500"
E02001728,"117,750"
E02001729,"153,500"
E02001730,"95,000"
E02001731,"143,000"
E02001732,"120,000"
E02001733,"117,500"
E02001734,"110,000"
E02001735,"77,500"
E02001736,"84,000"
E02001737,"96,000"
E02006893,"163,000"
E02001738,"351,998"
E02001739,"104,250"
E02001740,"320,000"
E02001741,"162,500"
E02001742,"236,500"
E02001743,"217,500"
E02001744,"207,500"
E02001745,"117,500"
E02001746,"200,000"
E02001747,"226,000"
E02001748,"201,225"
E02001749,"145,000"
E02001750,"225,000"
E02001751,"221,000"
E02001752,"123,000"
E02001753,"205,000"
E02001754,"215,667"
E02001755,"249,950"
E02001756,"138,500"
E02001757,"160,500"
E02001758,"133,250"
E02001759,"129,000"
E02001760,"98,000"
E02001761,"120,000"
E02001762,"179,950"
E02001763,"105,000"
E02001764,"147,000"
E02001765,"122,000"
E02001766,"98,000"
E02001767,"110,000"
E02005706,"110,000"
E02005707,"188,750"
E02005708,"200,000"
E02005702,"280,498"
E02005703,"159,950"
E02005704,"186,500"
E02005705,"245,000"
E02005720,"136,250"
E02005734,"74,750"
E02005735,"50,000"
E02005721,"243,498"
E02005737,"120,000"
E02005736,"140,995"
E02005738,"139,750"
E02005722,"274,995"
E02005723,"139,995"
E02005739,"113,750"
E02005724,"242,000"
E02005727,"164,000"
E02005740,"79,000"
E02005741,"165,000"
E02005709,"98,025"
E02005710,"95,500"
E02005711,"95,000"
E02005712,"145,000"
E02005713,"154,500"
E02005714,"180,975"
E02005716,"180,500"
E02005715,"154,995"
E02005717,"178,950"
E02005718,"138,000"
E02005719,"135,000"
E02005725,"278,748"
E02005726,"429,995"
E02005730,"217,500"
E02005729,"209,500"
E02005728,"127,500"
E02005731,"146,000"
E02005732,"315,000"
E02005733,"190,000"
E02002515,"77,750"
E02002516,"105,000"
E02002517,"105,995"
E02002518,"145,000"
E02002519,"130,500"
E02002520,"168,000"
E02002521,"184,750"
E02002523,"54,000"
E02002524,"117,500"
E02002525,"100,000"
E02002526,"119,250"
E02002527,"63,500"
E02002529,"135,000"
E02002530,"115,498"
E02002532,"121,250"
E02002533,"169,995"
E02002534,"154,000"
E02006812,"150,000"
E02006910,"123,500"
E02001768,"119,950"
E02001769,"113,500"
E02001770,"129,975"
E02001771,"180,000"
E02001772,"142,350"
E02001773,"185,000"
E02001774,"100,500"
E02001775,"127,000"
E02001776,"134,498"
E02001777,"152,500"
E02001778,"85,000"
E02001779,"102,500"
E02001780,"140,000"
E02001781,"87,000"
E02001782,"172,500"
E02001783,"92,000"
E02001784,"124,000"
E02001785,"139,000"
E02001786,"100,000"
E02001787,"120,000"
E02001788,"174,950"
E02001789,"256,975"
E02001790,"159,475"
E02002535,"140,000"
E02002536,"112,000"
E02002537,"81,750"
E02002538,"110,000"
E02002539,"251,995"
E02002540,"159,500"
E02002541,"110,748"
E02002542,"86,500"
E02002543,"125,000"
E02002544,"98,750"
E02002545,"129,998"
E02002546,"100,000"
E02002547,"170,000"
E02002548,"139,950"
E02002549,"142,500"
E02002550,"159,000"
E02002551,"62,136"
E02002552,"110,500"
E02002553,"118,000"
E02002554,"146,250"
E02002555,"197,500"
E02002556,"201,500"
E02002557,"189,975"
E02002558,"254,995"
E02001791,"170,000"
E02001792,"158,750"
E02001793,"80,000"
E02001794,"85,000"
E02001795,"80,000"
E02001796,"120,250"
E02001797,"149,975"
E02001798,"93,750"
E02001799,"66,000"
E02001800,"117,000"
E02001801,"75,000"
E02001802,"119,623"
E02001803,"87,800"
E02001804,"102,000"
E02001805,"134,950"
E02001806,"65,000"
E02001807,"173,750"
E02001808,"113,000"
E02001809,"141,000"
E02001810,"125,000"
E02001811,"102,000"
E02001812,"180,000"
E02001813,"91,000"
E02001814,"132,250"
E02001815,"205,000"
E02001816,"90,000"
E02001817,"155,500"
E02001818,"171,250"
E02001819,"187,500"
E02001820,"152,995"
E02001821,"145,000"
E02001822,"144,950"
E02001823,"90,000"
E02001824,"120,000"
E02001825,"148,950"
E02001826,"118,000"
E02003965,"155,250"
E02003966,"236,500"
E02003967,"132,875"
E02003968,"135,750"
E02003969,"85,000"
E02003970,"205,500"
E02003971,"230,000"
E02003972,"129,600"
E02003973,"86,000"
E02003974,"134,475"
E02003975,"211,250"
E02003976,"310,000"
E02003977,"122,500"
E02003978,"135,000"
E02003979,"217,750"
E02003980,"80,000"
E02003981,"122,500"
E02003982,"195,000"
E02003983,"85,000"
E02003984,"61,625"
E02003985,"115,000"
E02003986,"100,000"
E02002615,"140,000"
E02002616,"160,000"
E02002617,"86,000"
E02002618,"115,000"
E02002619,"88,750"
E02002620,"85,000"
E02002621,"81,000"
E02002622,"78,000"
E02002623,"66,000"
E02002624,"188,000"
E02002625,"125,000"
E02002626,"123,000"
E02002627,"147,000"
E02002628,"90,000"
E02002629,"76,000"
E02002630,"95,250"
E02002631,"147,500"
E02002632,"225,000"
E02002633,"124,950"
E02002634,"126,250"
E02002635,"134,000"
E02002636,"112,000"
E02002637,"125,000"
E02002638,"95,000"
E02002639,"79,975"
E02002640,"80,000"
E02002641,"107,500"
E02002642,"74,250"
E02002643,"89,000"
E02002644,"110,000"
E02002645,"90,000"
E02002646,"129,950"
E02002647,"91,000"
E02002648,"92,500"
E02002649,"134,500"
E02002650,"160,000"
E02002651,"137,000"
E02000984,"208,000"
E02000985,"215,000"
E02000986,"145,000"
E02000987,"122,500"
E02000988,"100,000"
E02000989,"185,275"
E02000990,"195,000"
E02000991,"125,000"
E02000992,"197,000"
E02000993,"120,050"
E02000994,"97,000"
E02000995,"188,500"
E02000996,"103,500"
E02000997,"204,975"
E02000998,"75,000"
E02000999,"73,000"
E02001000,"99,000"
E02001001,"150,000"
E02001002,"129,000"
E02001003,"265,000"
E02001004,"75,000"
E02001005,"90,000"
E02001006,"87,500"
E02001007,"150,000"
E02001008,"85,000"
E02001009,"124,500"
E02001010,"93,500"
E02001011,"173,500"
E02001012,"127,500"
E02001013,"187,500"
E02001014,"141,250"
E02001015,"111,000"
E02001016,"122,995"
E02001017,"132,250"
E02001018,"160,250"
E02005176,"109,000"
E02005177,"63,250"
E02005178,"46,732"
E02005179,"72,750"
E02005180,"148,000"
E02005181,"77,000"
E02005182,"61,500"
E02005183,"116,000"
E02005184,"175,000"
E02005185,"61,000"
E02005186,"141,995"
E02006881,"102,995"
E02001019,"174,000"
E02001020,"270,000"
E02001021,"225,000"
E02001022,"170,000"
E02001023,"198,000"
E02001024,"177,000"
E02001025,"127,000"
E02001026,"95,000"
E02001027,"125,000"
E02001028,"224,950"
E02001029,"134,000"
E02001030,"196,168"
E02001031,"148,500"
E02001032,"144,000"
E02001033,"130,000"
E02001034,"110,000"
E02001035,"217,000"
E02001036,"150,000"
E02001037,"255,000"
E02001038,"175,000"
E02001039,"175,000"
E02001040,"213,750"
E02001041,"197,500"
E02001042,"209,500"
E02001043,"212,000"
E02001044,"255,000"
E02003987,"158,500"
E02003988,"185,000"
E02003989,"175,000"
E02003990,"181,995"
E02003991,"165,000"
E02003992,"105,000"
E02003993,"235,000"
E02003994,"94,000"
E02003995,"115,000"
E02003996,"85,000"
E02003997,"90,500"
E02003998,"97,000"
E02003999,"188,052"
E02003853,"290,000"
E02003854,"330,000"
