LSOA code (2011),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Children and Young People Sub-domain Score
E01000001,0.024,-1.654,-2.012,31.873,0.006,-2.107
E01000002,0.063,-1.115,-2.343,23.084,0.037,-1.907
E01000003,5.804,-0.102,-1.032,40.535,0.052,-0.292
E01000005,22.260,-0.121,-1.317,28.979,0.209,0.338
E01000006,14.798,-0.359,-0.147,26.888,0.155,-0.366
E01000007,11.385,-0.027,0.846,25.995,0.253,-0.133
E01000008,25.506,0.250,0.353,30.233,0.298,0.129
E01000009,15.713,0.454,0.895,28.601,0.194,0.101
E01000010,11.762,-0.002,1.214,47.932,0.220,0.022
E01000011,22.519,-0.137,0.526,39.857,0.189,0.273
E01000012,19.774,-0.056,0.542,36.881,0.299,0.378
E01000013,24.003,0.670,1.199,30.424,0.243,-0.257
E01000014,31.501,0.350,0.825,25.122,0.203,0.142
E01000015,26.013,0.025,0.372,25.696,0.250,0.110
E01000016,28.996,0.373,0.528,24.950,0.251,-0.180
E01000017,22.899,0.694,0.317,27.688,0.318,-0.300
E01000018,26.358,0.273,0.457,25.659,0.284,-0.126
E01000019,26.111,0.477,0.645,26.826,0.196,-0.049
E01000020,24.184,0.760,0.651,30.078,0.231,-0.046
E01000021,31.637,0.418,0.559,44.214,0.291,0.451
E01000022,27.111,0.427,0.506,30.435,0.248,0.122
E01000023,22.994,0.033,1.286,39.968,0.322,0.246
E01000024,29.298,0.263,0.244,29.869,0.156,0.329
E01000025,25.691,0.395,0.837,28.042,0.278,-0.258
E01000027,38.122,0.148,1.042,20.329,0.276,0.592
E01000028,27.699,1.138,-0.111,16.282,0.269,0.165
E01000029,17.349,-0.280,0.350,21.974,0.126,-0.189
E01000030,38.753,0.016,0.499,20.993,0.344,0.698
E01000031,12.953,0.046,0.919,27.703,0.168,-0.446
E01000032,23.035,0.095,0.913,38.369,0.169,-0.176
E01000033,32.037,0.278,0.162,21.763,0.345,0.080
E01000034,33.858,0.661,0.302,18.010,0.249,0.390
E01000035,25.536,0.397,0.242,23.071,0.221,0.239
E01000036,15.969,-0.185,0.386,27.612,0.169,-0.780
E01000037,20.288,-0.504,-0.067,19.057,0.128,-0.025
E01000038,18.702,-0.103,0.204,27.001,0.204,-0.460
E01000039,19.753,0.173,0.092,17.527,0.165,-0.022
E01000040,31.332,0.155,0.607,29.323,0.262,0.382
E01000041,33.867,0.349,0.432,33.127,0.198,0.142
E01000042,31.450,0.526,0.263,24.750,0.286,0.335
E01000043,28.946,0.044,0.574,33.853,0.165,0.071
E01000044,22.263,-0.410,1.077,44.130,0.171,0.180
E01000045,24.013,0.279,1.214,35.245,0.217,0.053
E01000046,28.185,0.222,-0.026,30.260,0.208,-0.104
E01000048,26.490,0.495,0.246,20.578,0.389,0.030
