MSOA11CD,child_poverty_prop
E02000001,0.052592036
E02000002,0.273854962
E02000003,0.246671887
E02000004,0.201966717
E02000005,0.231935143
E02000007,0.289297068
E02000008,0.283377936
E02000009,0.280229746
E02000010,0.236261532
E02000011,0.253855279
E02000012,0.254398827
E02000013,0.247815727
E02000014,0.246936502
E02000015,0.318223867
E02000016,0.273214884
E02000017,0.305147059
E02000018,0.246609565
E02000019,0.24592121
E02000020,0.253607696
E02000021,0.2299444
E02000022,0.325382698
E02000023,0.263452915
E02000024,0.093828399
E02000025,0.099701493
E02000026,0.094545455
E02000027,0.164502165
E02000028,0.107511046
E02000029,0.118651685
E02000030,0.111303345
E02000031,0.058823529
E02000032,0.103341584
E02000033,0.152987158
E02000034,0.125065686
E02000035,0.092505855
E02000036,0.149161196
E02000037,0.110064078
E02000038,0.118600683
E02000039,0.078709677
E02000040,0.129201681
E02000041,0.158655891
E02000042,0.090008258
E02000043,0.043855176
E02000044,0.209876543
E02000045,0.1439523
E02000046,0.061179898
E02000047,0.233596702
E02000048,0.082651743
E02000049,0.326113117
E02000050,0.133509003
E02000051,0.077345036
E02000052,0.101050525
E02000053,0.159976731
E02000054,0.139285714
E02000055,0.142730102
E02000056,0.030776515
E02000057,0.121552127
E02000058,0.088223055
E02000059,0.225848003
E02000060,0.13654169
E02000061,0.06536347
E02000062,0.2183345
E02000063,0.131512071
E02000064,0.181749049
E02000065,0.205544554
E02000066,0.253515468
E02000067,0.19601464
E02000068,0.219302437
E02000069,0.164705882
E02000070,0.156401384
E02000071,0.18922229
E02000072,0.210451576
E02000073,0.135926993
E02000074,0.217118998
E02000075,0.10212766
E02000077,0.134495641
E02000078,0.111333333
E02000079,0.109555691
E02000080,0.136831276
E02000081,0.135953608
E02000082,0.109211252
E02000083,0.188954635
E02000084,0.121868979
E02000085,0.139825218
E02000086,0.096313017
E02000087,0.087357955
E02000088,0.095567867
E02000089,0.061568373
E02000090,0.091946734
E02000091,0.100364964
E02000092,0.200264375
E02000093,0.228817028
E02000094,0.199106256
E02000095,0.201528176
E02000096,0.16056338
E02000097,0.189522342
E02000098,0.206349206
E02000099,0.217898833
E02000100,0.095910781
E02000101,0.167721519
E02000102,0.214399153
E02000103,0.184559159
E02000104,0.193324061
E02000105,0.167272727
E02000106,0.203362034
E02000107,0.128467153
E02000108,0.157825802
E02000109,0.162675475
E02000110,0.130550033
E02000111,0.213394343
E02000112,0.17967968
E02000113,0.225997046
E02000114,0.145132743
E02000115,0.138996139
E02000116,0.195215311
E02000117,0.168693009
E02000118,0.291512915
E02000119,0.196740859
E02000120,0.138765118
E02000121,0.276586801
E02000122,0.098489823
E02000123,0.14258347
E02000124,0.093103448
E02000125,0.10770751
E02000126,0.23718593
E02000127,0.201476335
E02000128,0.110974862
E02000130,0.122334456
E02000131,0.176807072
E02000132,0.104143337
E02000133,0.049951503
E02000134,0.126254181
E02000135,0.191056911
E02000136,0.148858447
E02000137,0.079896907
E02000138,0.065735415
E02000139,0.07504576
E02000140,0.223441615
E02000141,0.138368984
E02000142,0.069915254
E02000144,0.088888889
E02000145,0.230204082
E02000146,0.10178117
E02000147,0.0541495
E02000148,0.059427733
E02000149,0.160500854
E02000150,0.065265487
E02000151,0.054811982
E02000152,0.155837563
E02000153,0.063716814
E02000154,0.106268657
E02000155,0.147413793
E02000156,0.067034366
